distance,speed,frame
1281.494,113,862
1282.756,114,863
1284.022,114,864
1285.294,115,865
1286.572,115,866
1287.85,115,867
1289.117,113,868
1290.372,113,869
1291.622,112,870
1292.867,112,871
1294.111,112,872
1295.356,112,873
1296.6,112,874
1297.833,110,875
1299.056,110,876
1300.278,110,877
1301.494,109,878
1302.706,109,879
1303.911,108,880
1305.111,108,881
1306.311,108,882
1307.506,107,883
1308.694,107,884
1309.878,106,885
1311.056,106,886
1312.233,106,887
1313.417,107,888
1314.606,107,889
1315.8,108,890
1317.0,108,891
1318.2,108,892
1319.4,108,893
1320.6,108,894
1321.8,108,895
1323.0,108,896
1324.2,108,897
1325.406,109,898
1326.617,109,899
1327.833,110,900
1329.056,110,901
1330.278,110,902
1331.506,111,903
1332.739,111,904
1333.983,113,905
1335.239,113,906
1336.494,113,907
1337.761,115,908
1339.039,115,909
1340.328,117,910
1341.628,117,911
1342.928,117,912
1344.239,119,913
1345.561,119,914
1346.894,121,915
1348.239,121,916
1349.583,121,917
1350.939,123,918
1352.306,123,919
1353.678,124,920
1355.056,124,921
1356.433,124,922
1357.822,126,923
1359.222,126,924
1360.633,128,925
1362.056,128,926
1363.478,128,927
1364.911,130,928
1366.356,130,929
1367.811,132,930
1369.278,132,931
1370.744,132,932
1372.222,134,933
1373.711,134,934
1375.211,136,935
1376.722,136,936
1378.233,136,937
1379.756,138,938
1381.289,138,939
1382.839,141,940
1384.406,141,941
1385.972,141,942
1387.556,144,943
1389.156,144,944
1390.772,147,945
1392.406,147,946
1394.039,147,947
1395.689,150,948
1397.356,150,949
1399.039,153,950
1400.739,153,951
1402.439,153,952
1404.15,155,953
1405.872,155,954
1407.606,157,955
1409.35,157,956
1411.094,157,957
1412.833,156,958
1414.567,156,959
1416.283,153,960
1417.983,153,961
1419.683,153,962
1421.361,149,963
1423.017,149,964
1424.656,146,965
1426.278,146,966
1427.9,146,967
1429.506,143,968
1431.094,143,969
1432.656,138,970
1434.189,138,971
1435.722,138,972
